Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,SR0CK,439.062500,-,7.600000,,88.5,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Serock,,,,
1,SR0DN,439.512500,-,7.600000,,88.5,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"Wola Rebkowska",,,,
2,SR0DZ,439.537500,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Serock,,,,
3,SR0WW,438.825000,-,7.600000,Tone,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Wolin,,,,
4,SR1ASR,438.625000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Szczecin,,,,
5,SR1CH,145.787500,+,293.712500,Tone,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Czartoryja,,,,
6,SR1CZ,438.712500,-,7.600000,,88.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Czaplinek,,,,
7,SR1D,145.612500,-,0.600000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Debno,,,,
8,SR1DMR,145.750000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Polanow,,,,
9,SR1G,145.625000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
10,SR1K,145.700000,-,0.600000,Tone,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Stargard,,,,
11,SR1KG,439.225000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,,,,,
12,SR1KN,438.675000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
13,SR1LS,1298.300000,-,28.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Szczecin,,,,
14,SR1N,145.675000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Koszalin,,,,
15,SR1P,145.725000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Postomino,,,,
16,SR1RE,439.150000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Resko,,,,
17,SR1RG,438.875000,-,7.600000,Tone,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Trzebiatow,,,,
18,SR1S,145.775000,-,0.600000,Tone,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Szczecin,,,,
19,SR1SZ,439.075000,-,7.600000,Tone,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Szczecin,,,,
20,SR1TS,29.670000,-,0.100000,Tone,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Szczecin,,,,
21,SR1UVH,439.025000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Swinoujscie,,,,
22,SR1UVS,439.412500,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Szczecin,,,,
23,SR1UVX,439.387500,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Stargard,,,,
24,SR1W,145.612500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Swinoujscie,,,,
25,SR1W,145.612500,-,0.600000,Tone,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Swinoujscie,,,,
26,SR1WA,439.400000,-,7.600000,Tone,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
27,SR1WAD,438.650000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,,,,,
28,SR1WOY,438.625000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,,,,,
29,SR1WR,439.050000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Ryman,,,,
30,SR1WU,438.725000,-,7.600000,Tone,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Swinoujscie,,,,
31,SR1WX,439.200000,-,7.600000,Tone,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Stargard,,,,
32,SR1YWX,439.262500,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Stargard,,,,
33,SR1Z,145.637500,-,0.600000,Tone,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
