Callsign,Modes,TX Frequency,TX CTCSS,RX Frequency,RX CTCSS,RX 1750,Duplex,Offset,Status,Latitude,Longitude,QTH,Locator
SR9FMJ,fmpoland,438.4,67,430.8,67,false,-,7.6,working,49.4174,20.8955,Jaworzyna krynicka,KN09KK
SR2PP,fm,145.7,74.4,145.1,74.4,false,-,0.6,working,52.8208026,18.043177,PIECHCIN,JO92AT
SR2GG-E,dmr,439.5625,false,431.9625,false,false,-,7.6,working,53.016129,17.7626932,,JO83VA
SR2GG-D,dstar,439.9,false,430.5,false,false,-,9.4,working,53.016129,17.7626932,,JO83VA
SR2GG-C,fm,439.3375,74.4,431.7375,74.4,false,-,7.6,working,53.016129,17.7626932,SZUBIN,JO83VA
SR2GG-B,fm,439.1375,74.4,431.5375,74.4,false,-,7.6,working,53.016129,17.7626932,SZUBIN,JO83VA
SR2GG,fm,145.75,74.4,145.15,74.4,false,-,0.6,working,53.016129,17.7626932,SZUBIN,JO83VA
SR6PCB,fm,145.575,false,149.975,103.5,false,+,4.4,working,50.8536421,17.4603814,Brzeg,JO80RU
SR9PSD,dmr,439.3125,false,431.7125,false,false,-,7.6,working,50.040513,18.3952814,Pszow,JO90EA
SR5UZQ,dstar,438.8625,false,431.2265,false,false,-,7.636,working,52.00714191,20.59027268,Krze Duze,KO02HA
SR2I,fm,438.6625,67,431.0625,67,false,-,7.6,working,52.808075,18.245849,Inowroclaw,JO92CT
SR7WU,"fm, fmpoland",439.55,123,431.95,123,false,-,7.6,working,51.1758,18.125,Wieruszow,JO91BH
SR7LK,fm,1270.7,false,1298.7,false,false,+,28,working,51.213796,19.435295,GORA KAMIENSK,JO91RE
SR6LWB,fm,1298.6,false,1270.6,false,false,-,28,working,50.822722,16.275748,Walbrzych,JO80CS
SR1P,fm,145.725,false,145.125,false,false,-,0.6,working,54.45905556,16.48406502,Kopnica,JO84FL
SR3SR,fm,439.1,110.9,431.1,110.9,false,-,8,testing,52.1448,17.309,Sulecinek,JO82PD
SR4BF,dmr,438.8,false,431.2,false,false,-,7.6,working,52.91684138,22.53923793,,KO12GW
SR1GL,"fm, fmpoland",145.28,82.5,145.28,82.5,false,false,0,working,53.56298321,14.81756581,Goleniow,JO73JN
SR5WRX,"fm, dstar",1287.575,127.3,1270.575,false,false,-,17,working,52.27,21,Warszawa,ko02lg
SR6F,fm,145.75,94.8,145.15,94.8,false,-,0.6,working,50.25701332,17.42886986,Biskupia Kopa,JO80rg
SR8GDM,"fm, fmpoland",439.375,77,431.775,77,false,-,7.6,working,51.370577,22.322384,Garbow,KO11DI
SR6DKL,fm,431.875,94.8,439.475,94.8,false,+,7.6,working,50.444097,16.666667,Klodzko,JO80IK
SR8RW,"fm, fmpoland",433.5375,false,433.5375,77,false,false,0,working,50.1980964,21.2675941,Radomysl Wielki,KO00PE
SR8NA,"fm, dmr, c4fm, dstar",438.825,71.9,431.225,71.9,false,-,7.6,working,49.841,22.434,Dubiecko,KN19FU
SR1TSZ,tetra,430.075,false,430.075,false,false,false,0,working,53.4747,14.5472,Szczecin,JO73GL
