Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Comment
1,SR0CK,439.062500,-,7.600000,Tone,77.0,77.0,FM,12.5,Serock
2,SR0DN,439.512500,-,7.600000,Tone,77.0,77.0,FM,12.5,Wola Rębkowska
3,SR0DZ,439.537500,-,7.600000,,88.5,77.0,FM,12.5,Serock
4,SR0LU,438.350000,-,7.600000,Tone,67.0,67.0,FM,12.5,Lubawa
5,SR0MI,438.312500,-,7.600000,Tone,67.0,67.0,FM,12.5,Miłomłyn
6,SR0ON,438.487500,-,7.600000,Tone,67.0,67.0,FM,12.5,Olsztyn
7,SR0WW,438.825000,-,7.600000,Tone,82.5,82.5,FM,12.5,Wolin
9,SR1CH,145.787500,split,439.500000,Tone,82.5,82.5,FM,12.5,Czartoryja
10,SR1CZ,438.712500,-,7.600000,Tone,82.5,88.5,FM,12.5,Czaplinek
11,SR1D,145.612500,-,0.600000,Tone,77.0,77.0,FM,12.5,Dębno
13,SR1G,145.625000,-,0.600000,Tone,88.5,88.5,FM,12.5,Kołobrzeg
14,SR1K,145.700000,-,0.600000,Tone,82.5,82.5,FM,12.5,Stargard
16,SR1KN,438.675000,-,7.600000,,88.5,88.5,FM,12.5,Koszalin Góra Chełmska - wieża widokowa
17,SR1LS,1298.300000,-,28.000000,,88.5,88.5,FM,12.5,Szczecin
18,SR1N,145.675000,-,0.600000,,88.5,88.5,FM,12.5,Koszalin
19,SR1P,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Postomino
20,SR1RE,439.150000,-,7.600000,Tone,88.5,88.5,FM,12.5,Resko
21,SR1RG,438.875000,-,7.600000,Tone,82.5,82.5,FM,12.5,Trzebiatów
22,SR1S,145.775000,-,0.600000,Tone,82.5,82.5,FM,12.5,Szczecin
23,SR1SZ,439.075000,-,7.600000,Tone,82.5,82.5,FM,12.5,Szczecin
24,SR1TS,29.670000,-,0.100000,Tone,82.5,82.5,FM,12.5,Szczecin
25,SR1UVH,439.025000,-,7.600000,,88.5,88.5,DV,12.5,Świnoujście
26,SR1UVS,439.412500,-,7.600000,,88.5,88.5,DV,12.5,Szczecin
29,SR1W,145.612500,-,0.600000,Tone,82.5,82.5,FM,12.5,Świnoujście
30,SR1WA,439.400000,-,7.600000,Tone,82.5,82.5,FM,12.5,Wałcz
33,SR1WU,438.725000,-,7.600000,Tone,82.5,82.5,FM,12.5,Świnoujście
34,SR1WX,439.200000,-,7.600000,Tone,82.5,82.5,FM,12.5,Stargard
36,SR1Z,145.637500,-,0.600000,Tone,82.5,82.5,FM,12.5,Kołowo EMITEL
38,SR1ZK-B,439.300000,-,7.600000,,88.5,88.5,DV,12.5,Kołowo
40,SR23BN,1298.175000,-,28.000000,,88.5,71.9,FM,12.5,Będzin
41,SR23CM,1298.100000,-,28.000000,,88.5,88.5,FM,12.5,Skrzyczne
44,SR2BG,145.725000,-,0.600000,Tone,67.0,67.0,FM,12.5,Bydgoszcz
45,SR2BT,439.100000,-,7.600000,Tone,77.0,77.0,FM,12.5,Bory Tucholskie
46,SR2BW,438.700000,-,7.600000,,88.5,88.5,FM,12.5,Bytów - komin ciepłowni Veolia Północ
47,SR2BY,438.725000,-,7.600000,Tone,67.0,67.0,FM,12.5,Bydgoszcz
48,SR2C,145.600000,-,0.600000,Tone,94.8,94.8,FM,12.5,Chwaszczyno EMITEL
53,SR2EL,439.550000,-,7.600000,Tone,94.8,94.8,FM,12.5,Elbląg
54,SR2FM,439.537500,-,7.600000,Tone,74.4,74.4,FM,12.5,Szubin - Jabłowo Pałuckie / wieża p.poż
56,SR2GA,438.975000,-,7.600000,Tone,94.8,94.8,FM,12.5,Władysławowo
57,SR2GD,439.075000,-,7.600000,Tone,94.8,94.8,FM,12.5,Gdańsk
59,SR2GD-C,439.087500,-,7.600000,Tone,94.8,94.8,FM,12.5,Gdańsk
60,SR2GDA,439.350000,-,7.600000,Tone,94.8,94.8,FM,12.5,Pruszcz Gdański
62,SR2GN,439.325000,-,7.600000,Tone,94.8,94.8,FM,12.5,Gniewino - Wieża widokowa
63,SR2GR,439.200000,-,7.600000,Tone,94.8,88.5,FM,12.5,Grudziądz
64,SR2GRU,145.687500,-,0.600000,Tone,94.8,88.5,FM,12.5,Grudziądz
65,SR2GS,438.550000,-,7.600000,Tone,94.8,94.8,FM,12.5,Chwaszczyno
66,SR2GT,439.025000,-,7.600000,Tone,94.8,94.8,FM,12.5,Chwaszczyno EMITEL
68,SR2J,145.587500,-,0.600000,Tone,74.4,74.4,FM,12.5,Szubin - Jabłowo Pałuckie / wieża p.poż
69,SR2JJ,439.162500,-,7.600000,Tone,74.4,74.4,FM,12.5,Szubin - Jabłowo Pałuckie / wieża p.poż
70,SR2K,145.712500,-,0.600000,Tone,88.5,88.5,FM,12.5,Toruń
71,SR2KU,439.425000,-,7.600000,Tone,94.8,94.8,FM,12.5,Wieżyca
72,SR2KY,439.250000,-,7.600000,,88.5,88.5,FM,12.5,Kwidzyn
76,SR2PA,439.300000,-,7.600000,Tone,94.8,94.8,FM,12.5,Pasłęk
77,SR2PB,145.737500,-,0.600000,Tone,88.5,88.5,FM,12.5,Brodnica
78,SR2R,145.650000,-,0.600000,Tone,67.0,67.0,FM,12.5,Inowrocław
79,SR2RR,438.662500,-,7.600000,Tone,67.0,67.0,FM,12.5,Inowrocław
80,SR2SL,438.750000,-,7.600000,,88.5,88.5,FM,12.5,Słupsk
81,SR2SWR,438.775000,-,7.600000,Tone,88.5,88.5,FM,12.5,Toruń
82,SR2T,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Toruń
83,SR2UVF,438.937500,-,7.600000,,88.5,88.5,DV,12.5,Bydgoszcz
85,SR2UVG-B,438.687500,-,7.600000,,88.5,88.5,DV,12.5,Chwaszczyno EMITEL
86,SR2UVO,438.962500,-,7.600000,,88.5,88.5,DV,12.5,Włocławek
87,SR2UVT-C,145.662500,-,0.600000,,88.5,88.5,DV,12.5,Tuchola
88,SR2UVV-B,439.362500,-,7.600000,,88.5,88.5,DV,12.5,Szubin - Jabłowo Pałuckie / wieża p.poż
89,SR2VV,439.137500,-,7.600000,Tone,74.4,74.4,FM,12.5,Szubin
90,SR2VV-B,145.750000,-,0.600000,,88.5,74.4,FM,12.5,Szubin
91,SR2VVV,439.337500,-,7.600000,,88.5,88.5,DV,12.5,Szubin
92,SR2VVV-B,438.812500,-,7.600000,,88.5,88.5,DV,12.5,Szubin
93,SR2W,145.737500,-,0.600000,Tone,82.5,82.5,FM,12.5,Włocławek
95,SR2WL,439.025000,-,7.600000,Tone,82.5,88.5,FM,12.5,Włocławek
96,SR2Z,145.650000,-,0.600000,Tone,94.8,94.8,FM,12.5,Gdynia-Oksywie EMITEL
100,SR3DOS,438.287500,-,7.600000,,88.5,88.5,DV,12.5,Ostrów Wielkopolski
104,SR3G,145.750000,-,0.600000,Tone,77.0,77.0,FM,12.5,Gorzów Wielkopolski
105,SR3GO,439.175000,-,7.600000,Tone,77.0,88.5,FM,12.5,Gorzów Wielkopolski
106,SR3GW,438.950000,-,7.600000,Tone,77.0,88.5,FM,12.5,Gorzów Wielkopolski - lokalny
107,SR3J,439.500000,-,7.600000,Tone,79.7,79.7,FM,12.5,RTCN Jemiołów/Łagów maszt EmiTel
108,SR3JA,438.975000,-,7.600000,Tone,110.9,110.9,FM,12.5,Jarocin, ul. Kościuszki 43
109,SR3K,145.750000,-,0.600000,,88.5,88.5,FM,12.5,Kalisz
111,SR3KEP,438.437500,-,7.600000,Tone,103.5,88.5,FM,12.5,Kępno
112,SR3KH,438.800000,-,7.600000,,88.5,88.5,FM,12.5,Koło - ZST
115,SR3L,145.775000,-,0.600000,Tone,103.5,103.5,FM,12.5,Leszno
116,SR3LS,439.275000,-,7.600000,Tone,103.5,103.5,FM,12.5,Leszno
117,SR3LW,439.125000,-,7.600000,Tone,110.9,110.9,FM,12.5,Lwówek
119,SR3MDW,439.225000,-,7.600000,Tone,103.5,103.5,FM,12.5,Leszno
120,SR3N,145.687500,-,0.600000,Tone,110.9,110.9,FM,12.5,Piła
121,SR3O,145.725000,-,0.600000,Tone,103.5,88.5,FM,12.5,Ostrów Wielkopolski
122,SR3OS,439.300000,-,7.600000,Tone,103.5,103.5,FM,12.5,Ostrów Wielkopolski
123,SR3P,145.650000,-,0.600000,Tone,110.9,110.9,FM,12.5,Poznań - Dębiec
124,SR3PB,438.875000,-,7.600000,Tone,110.9,110.9,FM,12.5,Pobiedziska
125,SR3PI,439.050000,-,7.600000,Tone,67.0,67.0,FM,12.5,Piła
126,SR3PO,1298.400000,-,28.000000,,88.5,88.5,FM,12.5,Poznań
127,SR3PO,439.200000,-,7.600000,Tone,110.9,110.9,FM,12.5,Poznań
128,SR3PX,438.900000,-,7.600000,Tone,110.9,110.9,FM,12.5,Słomowo
129,SR3RR,438.825000,-,7.600000,Tone,103.5,103.5,FM,12.5,Rawicz
130,SR3SN,439.100000,-,7.600000,Tone,100.0,100.0,FM,12.5,Świebodzin
131,SR3T,145.637500,-,0.600000,Tone,110.9,110.9,FM,12.5,Malanów
132,SR3TU,439.150000,-,7.600000,,88.5,88.5,FM,12.5,Turek
133,SR3UVJ,438.412500,-,7.600000,,88.5,88.5,DV,12.5,RTCN Jemiołów/Łagów maszt EmiTel
134,SR3UVL,439.237500,-,7.600000,,88.5,88.5,DV,12.5,Leszno
136,SR3WT,439.325000,-,7.600000,Tone,110.9,110.9,FM,12.5,Wolsztyn
137,SR3X,145.762500,-,0.600000,Tone,110.9,110.9,FM,12.5,Poznań
138,SR3XX,439.025000,-,7.600000,Tone,110.9,110.9,FM,12.5,Poznań
139,SR3XXX,438.700000,-,7.600000,Tone,110.9,110.9,FM,12.5,RTCN Poznań/Śrem, maszt EmiTel, adres Góra 42 koło Śremu
140,SR3Z,145.712500,-,0.600000,Tone,71.9,71.9,FM,12.5,Zielona Góra
142,SR3ZF,1298.500000,-,28.000000,,88.5,88.5,FM,12.5,Zielona Góra
143,SR3ZG,439.075000,-,7.600000,Tone,203.5,203.5,FM,12.5,Zielona Góra
144,SR3ZJ,438.750000,-,7.600000,Tone,79.7,79.7,FM,12.5,Jemiołów EMITEL
145,SR3ZX,439.350000,-,7.600000,,88.5,88.5,DV,12.5,Zielona Góra
146,SR4AUU,439.337500,-,7.600000,Tone,67.0,67.0,FM,12.5,Augustów
147,SR4AUV,145.687500,-,0.600000,Tone,67.0,67.0,FM,12.5,KO13MV
148,SR4BA,438.537500,-,7.600000,Tone,67.0,67.0,FM,12.5,Kiertyny Małe k/Bartoszyc
150,SR4BI,438.462500,-,7.600000,Tone,67.0,67.0,FM,12.5,Juchnowiec
152,SR4BK,438.925000,-,7.600000,,88.5,88.5,FM,12.5,Białystok, Politechnika Białostocka
153,SR4BL,438.600000,-,7.600000,Tone,67.0,67.0,FM,12.5,Łomża
154,SR4BS,439.025000,-,7.600000,Tone,67.0,67.0,FM,12.5,Białystok
157,SR4D,145.787500,-,0.600000,Tone,67.0,67.0,FM,12.5,Miłki k/Giżycka  EMITEL
160,SR4DGT,438.575000,-,7.600000,Tone,67.0,67.0,FM,12.5,Góra Dylewska EMITEL
161,SR4DM,438.300000,-,7.600000,Tone,67.0,67.0,FM,12.5,Dobre Miasto
162,SR4DMR,438.612500,-,7.600000,,88.5,88.5,FM,12.5,Ełk
164,SR4EL,439.050000,-,7.600000,Tone,94.8,94.8,FM,12.5,Elbląg
166,SR4H,439.237500,-,7.600000,Tone,67.0,67.0,FM,12.5,Hajnówka
167,SR4IL,438.212500,-,7.600000,Tone,67.0,67.0,FM,12.5,Iława
168,SR4J,145.625000,-,0.600000,Tone,67.0,67.0,FM,12.5,Góra Dylewska EMITEL
170,SR4L,438.100000,-,7.600000,,88.5,88.5,DV,12.5,Łomża
171,SR4LDG,1298.200000,-,28.000000,Tone,67.0,67.0,FM,12.5,Góra Dylewska EMITEL
172,SR4LG,438.725000,-,7.600000,Tone,67.0,67.0,FM,12.5,Giełczyn
173,SR4LM,1298.600000,-,28.000000,,88.5,88.5,FM,12.5,Miłki k/Giżycka EMITEL
174,SR4LO,439.100000,-,7.600000,Tone,67.0,67.0,FM,12.5,Łomża - maszt
175,SR4LU,439.375000,-,7.600000,Tone,67.0,67.0,FM,12.5,LUBAWA
176,SR4M,145.600000,-,0.600000,Tone,67.0,67.0,FM,12.5,Miłki k/Giżycka  EMITEL
177,SR4MI,438.750000,-,7.600000,Tone,67.0,67.0,FM,12.5,Miłki k/Giżycka EMITEL
180,SR4MO,438.450000,-,7.600000,Tone,67.0,67.0,FM,12.5,
181,SR4MR,439.150000,-,7.600000,Tone,67.0,67.0,FM,12.5,Mrągowo - wieża ciśnień wodociągów
182,SR4MWO,438.150000,-,7.600000,Tone,67.0,67.0,FM,12.5,Mrągowo
183,SR4O,145.725000,-,0.600000,,88.5,67.0,FM,12.5,Olsztyn
185,SR4OEX,145.687500,split,145.087500,Tone,67.0,88.5,FM,12.5,Olecko
186,SR4OL,438.512500,-,7.600000,Tone,67.0,67.0,FM,12.5,Olsztynek
187,SR4ON,438.675000,-,7.600000,Tone,67.0,67.0,FM,12.5,Olsztyn
190,SR4ONX,438.950000,-,7.600000,,88.5,88.5,FM,12.5,Olsztyn
191,SR4OS,438.400000,-,7.600000,Tone,67.0,67.0,FM,12.5,Ostróda
192,SR4PA,439.000000,-,7.600000,Tone,94.8,94.8,FM,12.5,Pasłęk, pow. elbląski
193,SR4PA,145.775000,-,0.600000,Tone,94.8,94.8,FM,12.5,Pasłęk
194,SR4RS,145.700000,-,0.600000,Tone,67.0,67.0,FM,12.5,Białystok
195,SR4S,145.575000,-,0.600000,Tone,67.0,67.0,FM,12.5,Sokółka
196,SR4SA,439.375000,-,7.600000,Tone,67.0,67.0,FM,12.5,Sokółka
197,SR4SN,438.875000,-,7.600000,Tone,67.0,88.5,FM,12.5,Szczytno
198,SR4SU,438.800000,-,7.600000,Tone,67.0,67.0,FM,12.5,Jeleniewo
199,SR4SUU,438.900000,-,7.600000,,88.5,88.5,FM,12.5,Suwałki, ul. Mickiewicza 15
200,SR4SW,439.325000,-,7.600000,,88.5,88.5,FM,12.5,Świętajno
201,SR4SWE,439.450000,-,7.600000,,88.5,88.5,DV,12.5,Świętajno
202,SR4U,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Białystok
203,SR4UBI,439.425000,-,7.600000,,88.5,88.5,DV,12.5,Białystok
204,SR4UG,438.775000,-,7.600000,,88.5,88.5,DV,12.5,Giby
205,SR4UVD,439.512500,-,7.600000,,88.5,88.5,DV,12.5,Góra Dylewska EMITEL
206,SR4UVE,438.600000,-,7.600000,Tone,94.8,88.5,FM,12.5,Pasłęk
207,SR4UVM,439.487500,-,7.600000,,88.5,88.5,DV,12.5,Miłki k/Giżycka  EMITEL
208,SR4UVN,439.462500,-,7.600000,,88.5,88.5,DV,12.5,Olsztyn
209,SR4X,145.600000,-,0.600000,Tone,67.0,88.5,FM,12.5,Juchnowiec
211,SR5CI,438.437500,-,7.600000,Tone,127.3,88.5,FM,12.5,Ciechanów
214,SR5DV,145.587500,-,0.600000,Tone,127.3,127.3,FM,12.5,
216,SR5E,439.375000,-,7.600000,Tone,127.3,127.3,FM,12.5,Warszawa-Ochota, ul. Częstochowska
218,SR5FWG,438.250000,-,7.600000,Tone,127.3,127.3,FM,12.5,Garwolin
219,SR5GM,439.225000,-,7.600000,Tone,127.3,127.3,FM,12.5,Grodzisk Mazowiecki
220,SR5GR,438.800000,-,7.600000,Tone,127.3,127.3,FM,12.5,GRÓJEC, ul. PIŁSUDSKIEGO 6
221,SR5ID,439.037500,-,7.600000,Tone,127.3,127.3,FM,12.5,Kuflew
