Callsign,Modes,"TX Frequency","TX CTCSS","RX Frequency","RX CTCSS","RX 1750",Duplex,Offset,Status,Latitude,Longitude,QTH,Locator
SR0CK,"fm, fmpoland",439.0625,,431.4625,77,,-,7.6,working,52.51452,21.068521,Serock,KO02MM
SR0DN,fm,439.5125,,431.9125,77,,-,7.6,planned,51.916059,21.550892,"Wola Rebkowska",KO01SV
SR0DZ,"fm, fmpoland",439.5375,,431.9375,,,-,7.6,working,52.500185,21.060421,Serock,KO02MM
SR0WW,fm,438.825,82.5,431.225,82.5,,-,7.6,working,53.844838,14.615891,Wolin,JO73HU
SR1ASR,dmr,438.625,,431.025,,,-,7.6,working,53.456806,14.547729,Szczecin,JO73GK
SR1CH,fm,145.7875,82.5,439.5,82.5,,+,293.7125,working,0,0,Czartoryja,JO72FW
SR1CZ,fm,438.7125,,431.1125,82.5,,-,7.6,testing,53.547541,16.233773,Czaplinek,JO83CN
SR1D,fm,145.6125,77,145.0125,77,1,-,0.6,off,52.737737,14.705231,Debno,JO72IR
SR1DMR,dmr,145.75,,145.15,,,-,0.6,working,54.124488,16.685599,Polanow,JO84IC
SR1G,"fm, echolink",145.625,,145.025,88.5,,-,0.6,working,54.178284,15.553207,Koobrzeg,JO74SE
SR1K,fm,145.7,82.5,145.1,82.5,1,-,0.6,working,53.342431,15.024889,Stargard,JO73MI
SR1KG,"dmr, c4fm",439.225,,431.625,,,-,7.6,working,54.178284,15.553207,Koobrzeg,JO74SE
SR1KN,fm,438.675,,431.075,,,-,7.6,working,54.207675,16.225714,"Koszalin Gora Chemska - wieza widokowa",JO84CE
SR1LS,fm,1298.3,,1270.3,,1,-,28,working,53.435441,14.539579,Szczecin,JO73GK
SR1N,fm,145.675,,145.075,,1,-,0.6,working,54.20258,16.177512,Koszalin,JO84CE
SR1P,"fm, echolink",145.725,,145.125,,,-,0.6,off,0,0,Postomino,JO84IL
SR1RE,fm,439.15,,431.55,88.5,,-,7.6,working,53.772662,15.406737,Resko,JO73QS
SR1RG,fm,438.875,82.5,431.275,82.5,,-,7.6,working,54.053464,15.256868,Trzebiatow,JO74PB
SR1S,fm,145.775,82.5,145.175,82.5,,-,0.6,off,53.458827,14.535034,Szczecin,JO73GL
SR1SZ,fm,439.075,82.5,431.475,82.5,,-,7.6,working,53.458827,14.535034,Szczecin,JO73GL
SR1TET,tetra,431.625,,430.025,,,-,1.6,working,53.3425,15.0252,Stargard,JO73mi
SR1TS,fm,29.67,82.5,29.57,82.5,,-,0.1,off,53.458827,14.535034,Szczecin,JO73GL
SR1UVH,dstar,439.025,,431.425,,,-,7.6,working,53.909623,14.254937,Swinoujscie,JO73DV
SR1UVS,dstar,439.4125,,431.8125,,,-,7.6,working,53.435441,14.539579,Szczecin,JO73GK
SR1UVX,dmr,439.3875,,431.7875,,,-,7.6,working,53.342431,15.024889,Stargard,JO73MI
SR1W,"dmr, c4fm",145.6125,,145.0125,,,-,0.6,working,53.909511,14.254612,Swinoujscie,JO73DV
SR1W,"fm, c4fm",145.6125,82.5,145.0125,82.5,,-,0.6,working,53.909511,14.254612,Swinoujscie,JO73DV
SR1WA,fm,439.4,82.5,431.8,82.5,,-,7.6,working,53.278012,16.48346,Wacz,JO83FG
SR1WAD,"dmr, c4fm",438.65,,431.05,,,-,7.6,working,53.278132,16.483364,Wacz,JO83FG
SR1WOY,c4fm,438.625,,431.025,,,-,7.6,off,54.179524,15.56913,"Dworcowa 10, Koobrzeg, Polska",JO74SE
SR1WR,c4fm,438.6875,,431.0875,,,-,7.6,working,53.947183,15.53354,Ryman,JO73SW
SR1WR,dmr,439.05,,431.45,,,-,7.6,working,53.947183,15.53354,Ryman,JO73SW
SR1WU,fm,438.725,82.5,431.125,82.5,,-,7.6,working,53.907989,14.246773,Swinoujscie,JO73CV
SR1WX,fm,439.2,82.5,431.6,82.5,,-,7.6,off,53.341126,15.039536,Stargard,JO73MI
SR1YWX,c4fm,439.2625,,431.6625,,,-,7.6,working,53.339449,15.008799,Stargard,JO73MI
SR1Z,fm,145.6375,82.5,145.0375,82.5,1,-,0.6,working,53.334105,14.67537,"Koowo EMITEL",JO73II
SR1ZDR,dmr,438.3125,,430.7125,,,-,7.6,inprogress,53.301882,15.908961,"Kalisz Pomorski",JO73WH
SR1ZK-B,dstar,439.3,,431.7,,,-,7.6,working,53.334105,14.67537,Koowo,JO73II
SR1ZW,"dmr, c4fm",438.8375,,431.2375,,,-,7.6,working,53.909511,14.254612,Swinoujscie,JO73DV
SR23BN,"fm, dstar",1298.175,71.9,1270.175,,,-,28,working,50.307487,19.12194,Bedzin,JO90NH
SR23CM,fm,1298.1,,1270.1,,,-,28,working,0,0,Skrzyczne,JN99MQ
SR2BC,"dmr, c4fm",439.2875,,431.6875,,,-,7.6,off,53.130098,17.945776,Bydgoszcz,JO83XD
SR2BD,c4fm,439,,431.4,,,-,7.6,working,53.112533,18.038706,Bydgoszcz,JO93AC
SR2BG,fm,145.725,67,145.125,67,,-,0.6,working,53.113086,18.038022,Bydgoszcz,JO93AC
SR2BT,fm,439.1,77,431.5,77,,-,7.6,working,53.543337,18.06983,"Bory Tucholskie",JO93AN
SR2BW,fm,438.7,,431.1,,,-,7.6,working,54.181,17.49345,"Bytow - komin ciepowni Veolia Ponoc",JO84RE
SR2BY,fm,438.725,,431.125,67,1,-,7.6,working,53.10927,17.990141,Bydgoszcz,JO83XC
SR2C,fm,145.6,94.8,145,94.8,,-,0.6,working,54.452753,18.435949,"Chwaszczyno EMITEL",JO94FK
SR2D,dmr,145.75,,145.15,,,-,0.6,inprogress,0,0,Gdansk,JO94FJ
SR2DCH,dmr,438.3875,,430.7875,,,-,7.6,working,53.660436,17.379398,Czuchow,JO83QP
SR2DMR,dmr,439.3125,,431.7125,,,-,7.6,working,52.919733,17.836519,"Szubin - Jabowo Pauckie / wieza p.poz",JO82WW
SR2DMR-C,c4fm,439.5625,,431.9625,,,-,7.6,inprogress,52.919733,17.836519,"Szubin - Jabowo Pauckie / wieza p.poz",JO82WW
SR2EL,"fm, echolink, minilink",439.55,94.8,431.95,94.8,,-,7.6,working,54.138022,19.456066,Elblag,JO94RD
SR2FM,"fm, fmlink",439.5375,74.4,431.9375,74.4,,-,7.6,working,52.919733,17.836519,"Szubin - Jabowo Pauckie / wieza p.poz",JO82WW
SR2G,c4fm,145.7,,145.1,,,-,0.6,working,54.34704,18.665793,Gdansk,JO94HI
SR2GA,"fm, minilink",438.975,94.8,431.375,94.8,,-,7.6,working,54.777673,18.413129,Wadysawowo,JO94ES
SR2GD,fm,439.075,94.8,431.475,94.8,,-,7.6,working,54.34704,18.665793,Gdansk,JO94HI
SR2GD,c4fm,439.0625,,431.4625,,,-,7.6,off,54.34704,18.665793,Gdansk,JO94HI
SR2GD-C,"fm, echolink, minilink",439.0875,94.8,431.4875,94.8,,-,7.6,working,54.34704,18.665793,Gdansk,JO94HI
SR2GDA,"fm, echolink, minilink",439.35,94.8,431.75,94.8,,-,7.6,working,53.7469812,18.6755997,"Smetowo Graniczne",JO93IR
SR2GDD,dmr,438.2875,,430.6875,,,-,7.6,working,54.354307,18.718538,Gdansk,JO94II
SR2GN,fm,439.325,94.8,431.725,94.8,,-,7.6,working,54.718116,18.052215,"Gniewino - Wieza widokowa",JO94AR
SR2GR,"fm, echolink, fmpoland",439.2,,431.6,94.8,,-,7.6,working,53.48156,18.75563,Grudziadz,JO93JL
SR2GS,fm,438.55,94.8,430.95,94.8,,-,7.6,working,54.452753,18.435949,Chwaszczyno,JO94FK
SR2GT,"fm, fmlink",439.025,94.8,431.425,94.8,,-,7.6,working,54.452753,18.435949,"Chwaszczyno EMITEL",JO94FK
SR2IN,"dmr, c4fm",438.2375,,430.6375,,,-,7.6,working,52.793999748006,18.2608156263,Inowrocaw,JO92DT
SR2J,fm,145.5875,74.4,144.9875,74.4,,-,0.6,working,52.919733,17.836519,"Szubin - Jabowo Pauckie / wieza p.poz",JO82WW
SR2JJ,fm,439.1625,74.4,431.5625,74.4,,-,7.6,working,52.919733,17.836519,"Szubin - Jabowo Pauckie / wieza p.poz",JO82WW
SR2K,fm,145.7125,88.5,145.1125,88.5,,-,0.6,working,53.042635,18.62559,Torun,JO93HB
SR2KU,"fm, echolink",439.425,94.8,431.825,94.8,,-,7.6,working,54.209874,18.111871,Wiezyca,JO94BF
SR2KY,fm,439.25,88.5,431.65,,,-,7.6,working,53.71013,18.955103,Kwidzyn,JO93LR
SR2MAL,c4fm,439.0625,,431.4625,,,-,7.6,working,54.039803,19.033037,Malbork,JO94MA
SR2OK,c4fm,438.875,,431.275,,,-,7.6,working,54.545013,18.535907,"Gdynia-Oksywie EMITEL",JO94GN
SR2OX,tetra,439.475,,431.875,,,-,7.6,testing,54.550543,18.537683,Gdynia,JO94GN
SR2PA,"fm, echolink, minilink",439.3,94.8,431.7,94.8,,-,7.6,working,54.065486,19.659217,Pasek,JO94TB
SR2PB,"fm, echolink, fmpoland",145.7375,88.5,145.1375,88.5,,-,0.6,working,53.242992,19.394201,Brodnica,JO93QF
SR2R,fm,145.65,67,145.05,67,,-,0.6,planned,0,0,Inowrocaw,JO92DT
SR2RR,fm,438.6625,,431.0625,67,,-,7.6,off,52.803414,18.271496,Inowrocaw,JO92DT
SR2SL,"fm, echolink",438.75,,431.15,,,-,7.6,working,54.462977,16.986933,Supsk,JO84LL
SR2SWR,"fm, fmpoland",438.775,88.5,431.175,88.5,,-,7.6,working,53.017158,18.601855,Torun,JO93HA
SR2T,"fm, fmpoland",145.775,,145.175,,,-,0.6,working,53.025586,18.688461,Torun,JO93IA
SR2UVF,"dstar, dmr, c4fm",438.9375,,431.3375,,,-,7.6,working,53.142333,18.134742,Bydgoszcz,JO93BD
SR2UVG,dmr,438.8375,94.8,431.2375,,,-,7.6,working,54.452753,18.435949,"Chwaszczyno EMITEL",JO94FK
SR2UVG-B,dstar,438.6875,,431.0875,,,-,7.6,working,54.452753,18.435949,"Chwaszczyno EMITEL",JO94FK
SR2UVO,dmr,438.9625,,431.3625,,,-,7.6,working,52.64211,19.05158,Wocawek,JO92MP
SR2UVT-C,dstar,145.6625,,145.0625,,,-,0.6,unverified,0,0,Tuchola,JO83WO
SR2UVV-B,dstar,439.3625,,431.7625,,,-,7.6,working,52.919733,17.836519,"Szubin - Jabowo Pauckie / wieza p.poz",JO82WW
SR2VV,"fm, extremelink",439.1375,74.4,431.5375,74.4,,-,7.6,working,53.016123980923,17.762767069151,Szubin,JO83VA
SR2VV-B,dstar,145.75,74.4,145.15,,,-,0.6,working,53.016054,17.762658,Szubin,JO83VA
SR2VVV,"dstar, dmr",439.3375,,431.7375,,,-,7.6,working,53.016054,17.762658,Szubin,JO83VA
SR2VVV-B,dstar,438.8125,,431.2125,,,-,7.6,working,53.016054,17.762658,Szubin,JO83VA
SR2W,fm,439.025,,431.425,82.5,,-,7.6,working,52.665735,19.049512,Wocawek,JO92MP
SR2WE,c4fm,439.225,,431.625,,,-,7.6,working,54.590756,18.22903,Wejherowo,JO94CO
SR2WL,fm,439.025,,431.425,82.5,,-,7.6,off,52.665735,19.049512,Wocawek,JO92MP
SR2Z,fm,145.65,94.8,145.05,94.8,,-,0.6,working,54.545013,18.535907,"Gdynia-Oksywie EMITEL",JO94GN
SR3A,fm,145.6625,79.7,145.0625,79.7,1,-,0.6,planned,52.346795,15.276266,"RTCN Jemioow/agow maszt EmiTel",JO72PI
SR3DAB,dmr,438.575,,430.975,,,-,7.6,working,52.1261,18.8562,Zalesie,JO92KD
SR3DAB,dstar,439.575,,431.975,,,-,7.6,working,52.1261,18.8562,Zalesie,JO92KD
SR3DAB,c4fm,439.05,,431.45,,,-,7.6,working,52.1261,18.8562,Zalesie,JO92KD
SR3DGW,dmr,438.55,,430.95,,,-,7.6,working,52.744249,15.280424,"Gorzow Wielkopolski",JO72PR
SR3DJ,dmr,438.125,,430.525,,,-,7.6,working,52.346795,15.276266,"RTCN Jemioow/agow maszt EmiTel",JO72PI
SR3DMR,dmr,145.6125,,145.0125,,,-,0.6,working,52.459156,16.905933,Poznan,JO82KL
SR3DOS,"dstar, dmr, c4fm",438.2875,,430.6875,,,-,7.6,working,51.659738,17.79778,"Ostrow Wielkopolski",JO81VP
SR3DRW,dmr,438.3375,,430.7375,,,-,7.6,working,51.60944,16.867769,Rawicz,JO81KO
SR3DSE,dmr,438.7375,,431.1375,,,-,7.6,working,52.086156,17.022016,Srem,JO82MC
SR3DZG,dmr,438.9625,,431.3625,,,-,7.6,working,51.93551,15.527107,"Zielona Gora",JO71SW
SR3G,fm,145.75,77,145.15,77,,-,0.6,working,52.732269,15.211474,"Gorzow Wielkopolski",JO72OR
SR3GO,fm,439.175,,431.575,77,1,-,7.6,off,52.732269,15.211474,"Gorzow Wielkopolski",JO72OR
SR3GW,fm,438.95,,431.35,77,1,-,7.6,working,52.740422,15.277767,"Gorzow Wielkopolski - lokalny",JO72PR
SR3J,"fm, fmlink",439.5,79.7,431.9,79.7,,-,7.6,working,52.346795,15.276266,"RTCN Jemioow/agow maszt EmiTel",JO72PI
SR3JA,"fm, echolink",438.975,110.9,431.375,110.9,,-,7.6,working,51.967538,17.498297,"Jarocin, ul. Kosciuszki 43",JO81RX
SR3JX,c4fm,439.25,,431.65,,,-,7.6,planned,52.346795,15.276266,"RTCN Jemioow/agow maszt EmiTel",JO72PI
SR3K,fm,145.75,,145.15,,1,-,0.6,working,51.763809,18.081964,Kalisz,JO91AS
SR3KA,dmr,439.375,,431.775,,,-,7.6,working,51.958967,16.162937,Kaszczor,JO81BX
SR3KEP,"fm, dmr, c4fm",438.4375,,430.8375,103.5,,-,7.6,off,51.297605,18.00335,Kepno,JO91AH
SR3KH,fm,438.8,,431.2,,,-,7.6,working,52.208723,18.629383,"Koo - ZST",JO92HF
SR3KHA,c4fm,438.3125,,430.7125,,,-,7.6,working,0,0,"62-600 Koo, ul. Dabrowskiego 7",JO92HE
SR3KRZ,dmr,438.6875,,431.0875,,,-,7.6,working,51.857324,16.842054,Krzemieniewo,JO81KU
SR3L,fm,145.775,103.5,145.175,103.5,,-,0.6,working,51.847173,16.597824,Leszno,JO81HU
SR3LS,fm,439.275,103.5,431.675,103.5,,-,7.6,working,51.847173,16.597824,Leszno,JO81HU
SR3LW,fm,439.125,110.9,431.525,110.9,,-,7.6,working,52.430375,16.195741,Lwowek,JO82CK
SR3MDV,dmr,439.575,,431.975,,,-,7.6,working,51.844431,16.594033,,JO81HU
SR3MDW,"fm, echolink",439.225,103.5,431.625,103.5,,-,7.6,working,51.844136,16.594246,Leszno,JO81HU
SR3N,fm,145.6875,110.9,145.0875,110.9,,-,0.6,working,53.146203,16.71503,Pia,JO83ID
SR3O,fm,145.725,,145.125,103.5,,-,0.6,working,51.64643,17.819217,"Ostrow Wielkopolski",JO81VP
SR3OS,fm,439.3,103.5,431.7,103.5,1,-,7.6,inprogress,51.64643,17.819217,"Ostrow Wielkopolski",JO81VP
SR3OW,"fm, c4fm",439.05,,431.75,,,-,7.3,off,0,0,"Ostrow Wielkopolski",JO81VP
SR3P,fm,145.65,110.9,145.05,110.9,1,-,0.6,working,52.371322,16.908054,"Poznan - Debiec",JO82KI
SR3PB,fm,438.875,110.9,431.275,110.9,,-,7.6,working,52.476886,17.279806,Pobiedziska,JO82PL
SR3PI,fm,439.05,67,431.45,67,,-,7.6,working,0,0,Pia,JO83ID
SR3PO,fm,1298.4,,1270.4,,,-,28,working,52.459156,16.905933,Poznan,JO82KL
SR3PO,fm,439.2,110.9,431.6,110.9,,-,7.6,working,52.459156,16.905933,Poznan,JO82KL
SR3PX,fm,438.9,110.9,431.3,110.9,,-,7.6,working,52.681328,16.945813,Somowo,JO82LQ
SR3RR,fm,438.825,103.5,431.225,103.5,,-,7.6,off,51.605659,16.860366,Rawicz,JO81KO
SR3SN,"fm, echolink, fmpoland",439.1,,431.5,100,,-,7.6,working,52.2444,15.4992,Swiebodzin,JO72RF
SR3T,fm,145.6375,110.9,145.0375,110.9,,-,0.6,working,51.961434,18.414342,Malanow,JO91EX
SR3TU,fm,439.15,,431.55,,,-,7.6,off,0,0,Turek,JO92FA
SR3UVJ,dstar,438.4125,,430.8125,,,-,7.6,working,52.346795,15.276266,"RTCN Jemioow/agow maszt EmiTel",JO72PI
SR3UVL,dstar,439.2375,,431.6375,,,-,7.6,working,51.844136,16.594246,Leszno,JO81HU
SR3UVP,dmr,439.4375,,431.8375,,,-,7.6,inprogress,52.459156,16.905933,Poznan,JO82KL
SR3WT,fm,439.325,110.9,431.725,110.9,,-,7.6,working,52.11856,16.116998,Wolsztyn,JO82BC
SR3X,fm,145.7625,110.9,145.1625,110.9,,-,0.6,working,52.459156,16.905933,Poznan,JO82KL
SR3XX,"fm, c4fm",439.025,110.9,431.425,110.9,,-,7.6,working,52.459156,16.905933,Poznan,JO82KL
SR3XXX,"fm, fmlink",438.7,110.9,431.1,110.9,,-,7.6,working,52.117304,16.98422,"RTCN Poznan/Srem, maszt EmiTel, adres Gora 42 koo Sremu",JO82LC
SR3Z,fm,145.7125,71.9,145.1125,71.9,,-,0.6,working,51.935511,15.527107,"Zielona Gora",JO71SW
SR3ZBZ,"dmr, c4fm",438.3625,,430.7625,,,-,7.6,working,52.998288,16.906704,Chodziez,JO82KX
SR3ZF,fm,1298.5,,1270.5,,,-,28,working,51.92698,15.488042,"Zielona Gora",JO71RW
SR3ZG,fm,439.075,203.5,431.475,203.5,,-,7.6,working,51.92698,15.488042,"Zielona Gora",JO71RW
SR3ZJ,fm,438.75,79.7,431.15,79.7,,-,7.6,working,52.346301,15.275602,"RTCN Jemioow/agow maszt EmiTel",JO72PI
SR3ZX,"dstar, c4fm",439.35,,431.75,,,-,7.6,working,51.935511,15.527107,"Zielona Gora",JO71SW
SR4ALL,echolink,430.975,67,438.575,67,,+,7.6,planned,53.636169,19.460143,Zabrowo,JO93RP
SR4AUU,fm,439.3375,67,431.7375,67,,-,7.6,planned,53.840818,22.986185,Augustow,KO13LU
SR4AUV,fm,145.6875,67,145.0875,67,,-,0.6,planned,53.836155,23.004719,KO13MV,KO13MU
SR4BA,"fm, echolink, extremelink",438.5375,,430.9375,67,,-,7.6,working,54.301463334069,20.753709227318,Bartoszyce,KO04JH
SR4BAU,dmr,438.3625,,430.7625,,,-,7.6,off,53.837154,22.97915,Augustow,KO13LU
SR4BI,"fm, dmr",438.4625,67,430.8625,67,,-,7.6,working,53.015542,23.135219,Juchnowiec,KO13NA
SR4BIA,dmr,439.25,,431.65,,,-,7.6,off,53.107935,23.184082,Biaystok,KO13OC
SR4BK,fm,438.925,,431.325,,,-,7.6,off,53.11948,23.152,"Biaystok, Politechnika Biaostocka",KO13NC
SR4BL,fm,438.6,67,431,67,,-,7.6,planned,53.172613,22.039165,omza,KO13AE
SR4BS,"fm, c4fm",439.025,67,431.425,67,,-,7.6,working,53.132887,23.138298,Biaystok,KO13ND
SR4BSK,dmr,438.4875,,430.8875,,,-,7.6,off,0,0,Sokolka,KO13SJ
SR4C4FM,c4fm,432.575,,432.575,,,,0,working,0,0,Biaystok,KO13ND
SR4D,"fm, echolink",145.7875,67,145.1875,67,,-,0.6,working,53.937727,21.844764,"Miki k/Gizycka  EMITEL",KO03WW
SR4DG,c4fm,438.8625,,431.2625,,,-,7.6,working,53.549375,19.940454,"Gora Dylewska EMITEL",JO93XN
SR4DGD,dmr,438.25,,430.65,,,-,7.6,working,53.549375,19.940454,"Gora Dylewska EMITEL",JO93XN
SR4DGT,"fm, fmlink",438.575,67,430.975,67,,-,7.6,working,53.549375,19.940454,"Gora Dylewska EMITEL",JO93XN
SR4DM,"fm, echolink",438.3,,430.7,67,,-,7.6,working,53.931698255447,20.498333298029,"Dobre Miasto",KO03FW
SR4DMR,fm,438.6125,,431.0125,,,-,7.6,unverified,53.815738,22.375785,Ek,KO13ET
SR4DX,dmr,439.5,,431.9,,,-,7.6,working,54.060989,19.618992,Pasek,JO94TB
SR4EL,"fm, fmpoland",439.05,94.8,431.45,94.8,,-,7.6,working,54.189015,19.394187,Elblag,JO94QE
